Transaction ID,Type,Date,Pickup Date,Reference,Mode,FBA ID,Ship Name,Container,SKU,Warehouse,Notes
TRX-VGLOBAL-1738195200000-139,SHIP,2025-01-30,2025-02-01,"101 Ctns - Mix SKU - Vglobal",,,"",,CS-CDS-002,VGLOBAL,""
TRX-VGLOBAL-1738195200000-137,SHIP,2025-01-30,2025-01-31,"101 Ctns - Mix SKU - Vglobal",,,"",,CS 008,VGLOBAL,""
TRX-VGLOBAL-1738195200000-136,SHIP,2025-01-30,2025-01-30,"101 Ctns - Mix SKU - Vglobal",,,"",,CS 011,VGLOBAL,""
TRX-FMC-1737504000000-135,SHIP,2025-01-22,2025-01-22,"72 Ctns - Mix SKU - FMC",,,"",,CS 008,FMC,""
TRX-FMC-1737504000000-133,SHIP,2025-01-22,2025-01-24,"72 Ctns - Mix SKU - FMC",,,"",,CS 007,FMC,""
TRX-VGLOBAL-1737504000000-132,SHIP,2025-01-22,2025-01-23,"72 Ctns - Mix SKU - Vglobal",,,"",,CS-CDS-001,VGLOBAL,""
TRX-VGLOBAL-1737504000000-131,SHIP,2025-01-22,2025-01-23,"72 Ctns - Mix SKU - Vglobal",,,"",,CS 009,VGLOBAL,""
TRX-FMC-1737504000000-134,SHIP,2025-01-22,2025-01-24,"72 Ctns - Mix SKU - FMC",,,"",,CS 008,FMC,""
TRX-FMC-1736899200000-126,SHIP,2025-01-15,2025-01-17,"76 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
TRX-VGLOBAL-1736899200000-124,SHIP,2025-01-15,2025-01-16,"88 Ctns - Mix SKU - LTL",LTL,,"",,CS 012,VGLOBAL,"FIFO"
TRX-VGLOBAL-1736899200000-123,SHIP,2025-01-15,2025-01-17,"88 Ctns - Mix SKU - LTL",LTL,,"",,CS 012,VGLOBAL,"FIFO"
TRX-VGLOBAL-1736899200000-122,SHIP,2025-01-15,2025-01-16,"88 Ctns - Mix SKU - LTL",LTL,,"",,CS 011,VGLOBAL,""
TRX-FMC-1736899200000-130,SHIP,2025-01-15,2025-01-15,"76 Cartons - Mix SKU - LTL",LTL,,"",,CS-CDS-001,FMC,""
TRX-FMC-1736899200000-129,SHIP,2025-01-15,2025-01-17,"76 Cartons - Mix SKU - LTL",LTL,,"",,CS 010,FMC,""
TRX-FMC-1736899200000-128,SHIP,2025-01-15,2025-01-17,"76 Cartons - Mix SKU - LTL",LTL,,"",,CS 010,FMC,""
TRX-FMC-1736899200000-127,SHIP,2025-01-15,2025-01-16,"76 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-VGLOBAL-1736899200000-125,SHIP,2025-01-15,2025-01-17,"88 Ctns - Mix SKU - LTL",LTL,,"",,CS-CDS-002,VGLOBAL,""
TRX-VGLOBAL-1736467200000-119,RECEIVE,2025-01-10,2025-01-09,"Batch 13 Received",,,"",,CS 010,VGLOBAL,""
TRX-VGLOBAL-1736467200000-116,RECEIVE,2025-01-10,2025-01-07,"Batch 13 Received",,,"",,CS 007,VGLOBAL,""
TRX-VGLOBAL-1736467200000-117,RECEIVE,2025-01-10,2025-01-07,"Batch 13 Received",,,"",,CS 011,VGLOBAL,""
TRX-VGLOBAL-1736467200000-121,RECEIVE,2025-01-10,2025-01-09,"Batch 13 Received",,,"",,CS 012,VGLOBAL,""
TRX-VGLOBAL-1736467200000-120,RECEIVE,2025-01-10,2025-01-08,"Batch 13 Received",,,"",,CS 009,VGLOBAL,""
TRX-VGLOBAL-1736467200000-118,RECEIVE,2025-01-10,2025-01-07,"Batch 13 Received",,,"",,CS 008,VGLOBAL,""
TRX-VGLOBAL-1735862400000-113,SHIP,2025-01-03,2025-01-03,"72 Ctns - Mix SKU - LTL",LTL,,"",,CS 012,VGLOBAL,""
TRX-FMC-1735862400000-115,SHIP,2025-01-03,2025-01-04,"94 Cartons - Mix SKU - LTL",LTL,,"",,CS 009,FMC,""
TRX-VGLOBAL-1735862400000-112,SHIP,2025-01-03,2025-01-05,"72 Ctns - Mix SKU - LTL",LTL,,"",,CS 011,VGLOBAL,""
TRX-FMC-1735862400000-114,SHIP,2025-01-03,2025-01-04,"94 Cartons - Mix SKU - LTL",LTL,,"",,CS 007,FMC,""
