Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-VGLOBAL-1739145600000-144,2025-02-09,SHIP,VGlobal,CS 009,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
TRX-VGLOBAL-1739145600000-146,2025-02-09,SHIP,VGlobal,CS-CDS-001,"198 Ctns - Mix SKU - Vglobal",,,,"",,,,198,,,,OTHER,YES
TRX-FMC-1738540800000-140,2025-02-02,SHIP,FMC,CS 007,"54 Ctns - CS007 - FMC",,,,"",,,,54,,,,OTHER,YES
TRX-VGLOBAL-1738195200000-139,2025-01-29,SHIP,VGlobal,CS-CDS-002,"101 Ctns - Mix SKU - Vglobal",,,,"",,,,101,,,,OTHER,YES
TRX-VGLOBAL-1738195200000-138,2025-01-29,SHIP,VGlobal,CS 012,"101 Ctns - Mix SKU - Vglobal",,,,"",,,,101,,,,OTHER,YES
TRX-VGLOBAL-1738195200000-137,2025-01-29,SHIP,VGlobal,CS 008,"101 Ctns - Mix SKU - Vglobal",,,,"",,,,101,,,,OTHER,YES
TRX-VGLOBAL-1738195200000-136,2025-01-29,SHIP,VGlobal,CS 011,"101 Ctns - Mix SKU - Vglobal",,,,"",,,,101,,,,OTHER,YES
TRX-FMC-1737504000000-134,2025-01-21,SHIP,FMC,CS 008,"72 Ctns - Mix SKU - FMC",,,,"",,,,72,,,,OTHER,YES
TRX-FMC-1737504000000-133,2025-01-21,SHIP,FMC,CS 007,"72 Ctns - Mix SKU - FMC",,,,"",,,,72,,,,OTHER,YES
TRX-VGLOBAL-1737504000000-132,2025-01-21,SHIP,VGlobal,CS-CDS-001,"72 Ctns - Mix SKU - Vglobal",,,,"",,,,72,,,,OTHER,YES
TRX-VGLOBAL-1737504000000-131,2025-01-21,SHIP,VGlobal,CS 009,"72 Ctns - Mix SKU - Vglobal",,,,"",,,,72,,,,OTHER,YES
TRX-FMC-1737504000000-135,2025-01-21,SHIP,FMC,CS 008,"72 Ctns - Mix SKU - FMC",,,,"",,,,72,,,,OTHER,YES
TRX-FMC-1736899200000-128,2025-01-14,SHIP,FMC,CS 010,"76 Cartons - Mix SKU - LTL",,,,"",,LTL,,76,,,,OTHER,YES
TRX-FMC-1736899200000-127,2025-01-14,SHIP,FMC,CS 009,"76 Cartons - Mix SKU - LTL",,,,"",,LTL,,76,,,,OTHER,YES
TRX-FMC-1736899200000-126,2025-01-14,SHIP,FMC,CS 007,"76 Cartons - Mix SKU - LTL",,,,"",,LTL,,76,,,,OTHER,YES
TRX-VGLOBAL-1736899200000-124,2025-01-14,SHIP,VGlobal,CS 012,"88 Ctns - Mix SKU - LTL",,,,"FIFO",,LTL,,88,,,,OTHER,YES
TRX-VGLOBAL-1736899200000-125,2025-01-14,SHIP,VGlobal,CS-CDS-002,"88 Ctns - Mix SKU - LTL",,,,"",,LTL,,88,,,,OTHER,YES
TRX-VGLOBAL-1736899200000-123,2025-01-14,SHIP,VGlobal,CS 012,"88 Ctns - Mix SKU - LTL",,,,"FIFO",,LTL,,88,,,,OTHER,YES
TRX-VGLOBAL-1736899200000-122,2025-01-14,SHIP,VGlobal,CS 011,"88 Ctns - Mix SKU - LTL",,,,"",,LTL,,88,,,,OTHER,YES
TRX-FMC-1736899200000-130,2025-01-14,SHIP,FMC,CS-CDS-001,"76 Cartons - Mix SKU - LTL",,,,"",,LTL,,76,,,,OTHER,YES
TRX-FMC-1736899200000-129,2025-01-14,SHIP,FMC,CS 010,"76 Cartons - Mix SKU - LTL",,,,"",,LTL,,76,,,,OTHER,YES
TRX-VGLOBAL-1736467200000-119,2025-01-09,RECEIVE,VGlobal,CS 010,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-VGLOBAL-1736467200000-116,2025-01-09,RECEIVE,VGlobal,CS 007,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-VGLOBAL-1736467200000-117,2025-01-09,RECEIVE,VGlobal,CS 011,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-VGLOBAL-1736467200000-121,2025-01-09,RECEIVE,VGlobal,CS 012,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-VGLOBAL-1736467200000-120,2025-01-09,RECEIVE,VGlobal,CS 009,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-VGLOBAL-1736467200000-118,2025-01-09,RECEIVE,VGlobal,CS 008,"Batch 13 Received",,,,"",,,,,,13,,BATCH-NUMBER,YES
TRX-FMC-1735862400000-114,2025-01-02,SHIP,FMC,CS 007,"94 Cartons - Mix SKU - LTL",,,,"",,LTL,,94,,,,OTHER,YES
TRX-FMC-1735862400000-115,2025-01-02,SHIP,FMC,CS 009,"94 Cartons - Mix SKU - LTL",,,,"",,LTL,,94,,,,OTHER,YES
TRX-VGLOBAL-1735862400000-113,2025-01-02,SHIP,VGlobal,CS 012,"72 Ctns - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-VGLOBAL-1735862400000-112,2025-01-02,SHIP,VGlobal,CS 011,"72 Ctns - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1734652800000-111,2024-12-19,SHIP,FMC,CS-CDS-001,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1734652800000-110,2024-12-19,SHIP,FMC,CS 009,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1734652800000-109,2024-12-19,SHIP,FMC,CS 007,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-4AS-1734220800000-108,2024-12-14,RECEIVE,4AS,CS-CDS-002,"Batch 4 - Bari Textile Receiving",,,,"",,,,,,4,,BATCH-NUMBER,YES
TRX-4AS-1734220800000-107,2024-12-14,RECEIVE,4AS,CS-CDS-001,"Batch 4 - Bari Textile Receiving",,,,"",,,,,,4,,BATCH-NUMBER,YES
TRX-VGLOBAL-1733270400000-106,2024-12-03,SHIP,VGlobal,CS 011,"24 Cartons - CS011",,,,"",,,,24,,,,OTHER,YES
TRX-VGLOBAL-1733184000000-100,2024-12-02,SHIP,VGlobal,CS 011,"88 Ctns - Mix SKU - 03 Dec",,,,"",,,,88,,,,OTHER,YES
TRX-FMC-1733184000000-105,2024-12-02,SHIP,FMC,CS-CDS-001,"64 Cartons-Mix SKU-LTL-02-Dec",,,,"",,LTL,,64,,,,OTHER,YES
TRX-FMC-1733184000000-104,2024-12-02,SHIP,FMC,CS 009,"64 Cartons-Mix SKU-LTL-02-Dec",,,,"",,LTL,,64,,,,OTHER,YES
TRX-FMC-1733184000000-103,2024-12-02,SHIP,FMC,CS 008,"64 Cartons-Mix SKU-LTL-02-Dec",,,,"",,LTL,,64,,,,OTHER,YES
TRX-VGLOBAL-1733184000000-102,2024-12-02,SHIP,VGlobal,CS-CDS-002,"88 Ctns - Mix SKU - 03 Dec",,,,"",,,,88,,,,OTHER,YES
TRX-VGLOBAL-1733184000000-101,2024-12-02,SHIP,VGlobal,CS 012,"88 Ctns - Mix SKU - 03 Dec",,,,"",,,,88,,,,OTHER,YES
TRX-VGLOBAL-1731024000000-98,2024-11-07,SHIP,VGlobal,CS 012,"48 Cartons CS011 CS012",,,,"",,,,48,,,,OTHER,YES
TRX-FMC-1731024000000-99,2024-11-07,SHIP,FMC,CS 007,"72 Cartons - CS007",,,,"",,,,72,,,,OTHER,YES
TRX-VGLOBAL-1731024000000-97,2024-11-07,SHIP,VGlobal,CS 011,"48 Cartons CS011 CS012",,,,"",,,,48,,,,OTHER,YES
TRX-VGLOBAL-1730332800000-96,2024-10-30,SHIP,VGlobal,CS-CDS-002,"114 Cartons - Mix SKU",,,,"",,,,114,,,,OTHER,YES
TRX-VGLOBAL-1730332800000-95,2024-10-30,SHIP,VGlobal,CS 007,"114 Cartons - Mix SKU",,,,"",,,,114,,,,OTHER,YES
TRX-VGLOBAL-1729814400000-94,2024-10-24,SHIP,VGlobal,CS 012,"24 Cartons - CS012",,,,"",,,,24,,,,OTHER,YES
TRX-FMC-1729641600000-92,2024-10-22,SHIP,FMC,CS 010,"164 Cartons - Mix SKU",,,,"",,,,164,,,,OTHER,YES
TRX-FMC-1729641600000-93,2024-10-22,SHIP,FMC,CS-CDS-001,"164 Cartons - Mix SKU",,,,"",,,,164,,,,OTHER,YES
